AnnualRainfall,SeasonalRainfall,Temperature,Humidity,RiverLevel,SoilMoisture,WindSpeed,Pressure,Visibility,CloudCover,Flood
3503,973,20,92,5.446653196898861,78,54,973,7,83,0
1978,1761,15,95,6.55958094719167,66,54,958,1,63,0
3999,1875,21,66,8.91370941930423,37,13,962,8,30,0
3056,1322,29,70,7.662956362798227,52,11,967,3,87,0
1275,1501,21,83,5.155506263500219,34,13,959,4,80,0
534,1786,33,71,9.859203895548038,43,30,961,4,95,0
2753,1886,34,91,5.106304910277759,55,6,996,7,75,1
3652,1143,36,69,2.012056059101799,79,9,959,7,70,0
2455,654,25,57,9.933892725274443,53,70,950,4,82,0
2085,1327,37,55,1.2053865701336257,70,14,1006,6,49,0
3959,1145,28,74,5.94895203538977,59,35,1020,8,29,0
3573,800,27,98,3.7818593982973834,41,37,960,4,42,0
1521,2900,34,48,5.531969359152863,35,10,1002,1,20,0
3961,924,39,78,6.028416573350694,61,18,953,7,67,0
3113,2480,23,90,3.1608630665063884,35,19,1010,2,23,1
1629,1617,23,76,6.011728801635357,24,47,959,3,47,0
2000,1724,30,90,7.804550008049837,25,24,954,8,63,0
1202,450,26,49,3.398588535195985,61,25,1010,2,86,0
2949,1744,24,91,4.450835199825164,49,68,1025,2,21,1
3277,278,20,51,3.4141842384765213,51,33,979,4,77,0
2079,1097,32,47,8.385037578893822,72,63,1006,6,25,0
661,980,16,42,7.52484033288637,38,77,982,2,61,0
701,425,34,58,8.840767934965665,70,68,986,9,36,0
2481,1274,23,98,2.5304490361149337,47,48,1017,2,56,0
1495,1409,33,50,1.662216743437764,66,38,972,9,63,0
2817,1257,20,47,2.0744515347280603,91,51,1019,7,42,0
1315,1002,16,65,2.4491649954181276,20,13,956,3,59,0
3842,941,29,84,5.797743946073221,87,64,968,9,63,0
955,2378,31,97,9.738208633264884,76,34,964,9,50,0
1775,2879,30,62,4.2151187495510385,41,21,981,6,95,0
1516,903,35,94,9.626574424241847,77,56,1028,2,32,0
2843,2744,22,49,1.3438071549026174,32,63,1008,7,39,0
3267,1626,24,57,9.341849825331925,58,8,1019,4,66,0
837,2570,24,51,2.6303734657447406,46,44,1019,4,29,0
1378,814,32,78,9.21227487147414,58,11,955,7,84,0
1576,528,24,65,1.5060468710391506,91,42,1025,5,71,0
1291,1595,23,50,9.533975027455293,31,36,1015,1,82,0
2764,1683,38,49,2.8071843788697475,43,73,953,3,48,0
1263,332,33,42,3.7244265406584462,37,71,1019,7,73,0
2735,1034,15,46,5.418481096926623,34,60,1006,9,69,0
879,2898,18,43,4.426487931119277,79,24,1010,9,84,0
992,320,38,79,7.007751723368349,35,68,1005,7,63,0
3612,2853,17,47,9.773269905250697,93,21,963,5,27,0
1680,1675,24,77,6.457838417244466,66,20,956,4,28,0
2562,1164,26,52,7.493368684928943,43,15,1003,9,42,0
564,328,32,51,1.7920472527513134,64,17,1007,6,53,0
3068,1798,37,74,6.650311861630048,38,22,1010,2,35,0
1867,2276,34,77,5.084647993417718,60,18,1021,3,81,0
1652,2969,20,93,8.972041221276655,50,38,977,7,84,0
2527,1747,35,90,4.493899896787918,35,30,1004,4,97,1
3195,532,16,82,7.115087296449272,42,46,1023,7,71,0
1995,1353,24,75,3.053383554331712,97,65,1002,5,42,0
3634,1516,16,86,3.3343528017177637,42,43,993,1,57,1
1662,1396,23,41,4.385101878300462,60,6,977,3,59,0
2022,1629,24,54,3.7365718375585244,37,61,995,9,27,0
3140,555,16,88,3.2849095545106737,55,54,998,4,51,0
891,338,22,73,1.4470183531072838,31,20,1016,5,59,0
2198,1726,38,78,8.53071698577213,94,66,976,2,85,0
918,1397,31,65,1.5787137780215588,88,15,1028,8,67,0
2836,228,31,87,8.986289640426708,70,67,988,1,32,0
878,1130,18,44,2.1291885016125423,51,34,976,4,46,0
2296,2743,32,87,1.5873556335639312,90,58,984,6,65,0
2778,1213,26,64,6.0670428758262736,55,75,996,8,90,0
3565,2902,31,90,5.521976133172496,59,31,1001,4,22,1
2588,1027,23,73,5.421111119486966,89,68,1018,2,80,0
3599,550,33,86,6.17053894751258,57,13,1015,4,91,0
2682,2801,28,43,3.5835094550724014,73,76,990,1,84,0
700,2224,28,73,6.9665434608665,23,6,999,8,36,0
2363,498,31,66,5.521619977364649,65,53,994,9,45,0
1279,1943,16,94,4.012691202615928,82,52,969,3,48,0
3477,2065,22,81,8.438506002826553,93,59,1020,8,91,1
3604,1415,19,93,7.549489866940391,69,71,985,9,57,0
3619,1895,21,95,4.5424930775015975,49,35,1021,8,70,1
1002,2311,36,68,8.628560067059855,92,30,1019,2,62,0
2954,954,30,44,9.282324251005967,35,70,973,2,91,0
2251,969,30,57,5.831796403759262,71,34,985,4,27,0
1304,1438,31,43,2.934572051412287,23,5,954,1,44,0
2646,1033,36,40,9.242129408922882,45,74,969,3,74,0
3231,2413,21,89,2.705316580859655,48,26,1002,4,64,1
2395,2106,34,59,1.4358090377554222,30,79,989,2,86,0
3273,1764,22,45,3.9473830798581777,43,58,999,7,76,0
2070,1418,22,59,7.542697100149359,70,18,1023,3,68,0
1460,705,37,59,9.309466777181946,61,18,1016,7,73,0
3160,1557,25,85,6.735570821329959,58,75,984,7,66,1
1985,1660,29,66,9.56654692269994,26,23,1013,9,83,0
3190,1616,32,65,1.8313375534830696,37,30,986,4,43,0
1528,1372,20,71,1.5467835662921805,22,63,994,4,81,0
3789,960,36,49,6.437727556692977,82,26,987,1,52,0
1002,1032,26,57,9.695046902434793,39,10,976,6,59,0
3314,1628,29,80,5.524491780592516,92,67,1014,6,48,1
897,482,37,51,1.4636370334537463,93,78,1022,7,27,0
1370,578,20,49,2.9909679046971056,89,58,952,9,94,0
3342,397,32,63,3.203136157741936,36,23,1008,9,35,0
892,755,38,63,4.04071416223255,98,14,979,5,52,0
706,555,34,92,1.3924304522759137,78,41,965,2,83,0
1538,1763,23,90,9.144034304481247,73,21,978,1,30,0
2381,1240,22,77,5.640075502493457,32,59,1019,2,48,0
3439,2886,28,85,7.038377136586981,61,9,1027,2,68,1
1984,578,33,64,1.6045555320550808,63,25,1023,1,85,0
1363,879,33,47,1.4870392102328447,99,43,973,8,24,0
3290,2753,22,94,6.278209948364925,86,24,956,3,72,1
3812,1979,16,53,8.985664094537873,91,75,998,8,63,0
1063,1098,39,82,5.7563380086359235,39,19,1012,6,26,0
1520,275,18,70,8.900372553130644,66,57,995,1,89,0
595,430,20,63,8.298921457497155,43,37,997,7,88,0
2423,1939,17,55,1.6826840721542866,70,48,974,3,98,0
2257,1161,17,59,2.817617269471209,37,70,992,9,46,0
3032,2549,33,77,6.919396022398082,42,54,1004,9,73,1
3978,2973,25,86,4.991512442950374,20,36,983,4,92,1
2778,2462,24,54,3.616298322822285,85,75,1014,2,42,0
3296,2316,26,53,4.767704704431812,24,77,977,9,77,0
2178,592,28,92,5.006796816435709,37,59,990,5,36,0
3742,1308,32,51,9.194970257394369,99,32,978,8,65,0
1040,466,38,73,1.9311245533445773,93,7,981,9,66,0
1559,1292,23,47,3.517576721268535,54,57,1018,1,78,0
3072,810,29,58,5.8380833492444255,44,46,983,3,64,0
1683,1570,38,85,7.284582339675325,43,6,1008,7,81,0
2222,1208,17,44,6.6757356006331925,32,26,1010,2,73,0
3814,1161,37,95,9.47478463963655,40,29,1001,4,94,0
3657,2975,25,66,8.160480323375259,58,36,1012,4,32,0
2319,872,24,80,6.0136915777698725,53,11,975,7,31,0
3125,2670,32,52,2.9321442250615677,38,66,1026,2,21,0
3229,1900,18,71,5.057868082620159,47,35,961,8,61,0
3104,2362,27,70,7.240440197750297,30,67,971,8,73,0
2097,2467,20,80,8.541659573524765,68,41,1022,6,30,0
3560,230,35,85,9.637626019801486,54,72,1005,4,97,0
3193,1566,27,76,6.449074895241258,95,13,955,2,41,1
1295,1600,39,41,5.742274305739892,76,74,985,3,68,0
1551,1353,34,46,1.1592273080903348,47,50,1023,3,56,0
2143,816,19,87,1.6488916223516195,85,38,1008,3,55,0
1863,738,34,50,2.4049449787366024,84,64,1008,4,68,0
2481,2986,28,50,1.4928393807066527,92,17,1017,7,77,0
1854,1070,27,62,4.607769149244338,41,40,1001,9,22,0
2163,300,28,70,4.03190690624985,70,52,1017,4,85,0
2029,1612,22,83,6.736187420815536,28,79,1026,7,52,0
2538,2939,30,84,5.820985971400624,90,10,1029,6,37,1
3919,1140,27,47,6.363736834490737,55,9,1000,9,67,0
1996,540,38,95,5.247794826438887,73,69,1017,8,94,0
3802,1243,29,71,3.499634336988314,57,54,975,2,90,0
2737,237,33,87,9.575427834518294,85,78,1022,3,56,0
3796,859,15,60,1.7776824378412508,62,78,990,6,69,0
1908,2233,36,70,9.450018995187765,24,28,1024,5,55,0
1900,1760,16,40,3.801142421782612,56,11,954,2,46,0
1806,1856,32,52,5.613953008305677,77,62,1002,2,41,0
3180,1249,33,50,1.9795809054479152,82,25,987,5,50,0
3175,653,22,68,1.6383796153390833,70,37,1002,5,59,0
1472,1904,17,43,4.865909038467426,91,48,1005,1,73,0
2268,1546,37,75,7.675276387417103,62,29,968,3,83,0
1782,2984,28,54,3.4242829979369405,86,19,1014,9,89,0
3930,1018,23,98,6.06113100041788,86,33,1018,3,72,0
1209,972,22,42,3.507853064705365,84,56,1002,6,73,0
1979,212,31,95,4.497517548037367,81,21,968,6,73,0
1934,1120,37,90,9.158016866264422,82,40,1015,2,90,0
1148,1024,37,68,8.702556629454275,49,39,997,7,25,0
817,2618,38,60,5.6441578907586685,57,44,1015,9,83,0
3796,1514,30,41,3.1429506472487088,70,27,1022,9,73,0
1757,2579,24,45,2.7386552145972054,57,77,967,8,84,0
1183,2508,35,70,9.586786177321429,86,38,1029,5,65,0
1163,2217,24,93,2.824449368596188,96,62,988,8,61,0
2498,1428,39,63,8.273514798212853,67,65,1022,9,94,0
3945,896,39,79,4.320731885819836,31,32,1000,1,75,0
2131,2934,38,56,9.870938628024145,39,64,972,1,59,0
1995,1149,20,44,4.313401663265091,91,36,982,5,34,0
3804,2634,36,41,4.163649624196535,21,62,1009,7,49,0
1636,2715,31,97,6.737172659898608,94,48,1008,9,42,0
2353,1638,30,51,9.653651259641373,74,38,975,9,31,0
2020,268,29,44,9.785886452167896,25,25,966,3,49,0
2989,1981,36,81,7.364855318202867,81,5,1002,1,35,1
1063,2447,28,99,7.791457290727183,68,59,1027,3,49,0
1791,2463,18,80,6.070619583757249,73,53,1026,8,87,0
3957,2169,18,59,7.801981652190987,29,25,992,7,52,0
3958,411,16,47,8.73801689473447,43,59,997,5,76,0
3684,707,25,40,5.3748577287552095,48,31,969,9,47,0
2136,2263,18,95,6.578760365470927,25,24,984,4,98,0
3499,1721,35,45,5.835850257097429,77,20,982,6,45,0
3652,531,35,95,6.062235521758095,97,52,1025,5,33,0
1198,2964,30,93,9.010431188865468,76,36,951,6,76,0
2660,750,35,50,4.200551471850132,22,36,983,4,34,0
501,1824,18,42,2.8736562304056177,43,57,1025,3,85,0
1141,1141,15,70,5.106520992462662,38,57,981,5,35,0
2767,2503,38,67,2.8727667143313864,28,6,970,5,56,0
2089,927,33,86,5.485603830958173,49,61,954,2,30,0
1354,1079,16,82,9.131572948213527,96,26,977,4,30,0
2259,848,23,95,6.5569016843423,63,56,997,3,52,0
3796,1199,37,44,8.698895679727698,72,62,1018,7,21,0
2932,1721,39,99,2.4957182765396064,87,38,1019,5,52,1
3974,2718,27,65,9.107862332834591,79,75,989,6,82,0
2161,2937,32,55,6.4160844796640415,42,21,955,7,22,0
1653,1812,30,92,1.285838098664318,80,76,963,2,52,0
1576,2947,30,70,6.698070597565331,26,27,1016,4,45,0
2207,2754,39,67,9.562572606348262,63,37,960,6,53,0
3277,1209,24,46,1.7125030042782585,74,33,988,3,97,0
2195,1750,23,77,6.242105174226149,94,23,990,6,71,0
2233,1003,25,48,9.239307425827432,58,73,973,1,85,0
1939,413,39,78,1.0872565150093711,78,41,992,8,91,0
2794,368,18,74,6.678216338192409,24,30,1023,5,46,0
1335,1177,24,82,5.274120626478664,61,28,975,1,91,0
702,1528,17,66,4.122903867837495,33,58,978,1,90,0
3755,345,20,51,6.647828409508384,46,25,951,3,94,0
622,1998,17,92,1.4743188512867524,35,14,979,6,68,0
900,715,23,64,7.777567416586601,21,46,1023,2,66,0
1266,652,17,82,1.0403152922773686,38,33,1025,8,40,0
793,259,32,68,3.76242169413117,42,61,1006,7,40,0
2827,727,22,70,5.535627739162106,60,39,1008,2,90,0
3431,1223,36,97,4.393200255098965,33,32,968,1,80,0
697,2721,22,73,3.7672834168502423,66,16,1003,7,33,0
3529,1764,29,72,8.477516309212865,82,62,1019,7,39,0
2430,1302,27,66,9.41349316844718,27,48,972,3,24,0
3299,632,21,95,8.863414164153,46,11,982,8,50,0
2691,1376,33,95,5.701881817449997,59,20,1015,8,81,0
1108,600,22,41,8.957477576741347,47,39,1028,5,31,0
3772,2304,24,53,9.287754086633893,87,11,960,7,75,0
1647,2433,31,52,4.683145573427158,80,18,967,3,75,0
686,2645,15,63,3.551012735549009,57,63,1014,6,31,0
3897,804,27,44,1.8843868523198828,94,66,981,3,85,0
3011,2405,27,73,5.311827289443062,43,78,953,9,45,0
3920,2010,38,94,9.516672283945972,47,70,985,7,87,1
2294,1663,30,62,6.048167752633339,60,26,1006,1,49,0
1159,2836,23,58,7.008058916075544,37,20,982,8,39,0
3311,2713,24,69,2.0159543664266284,68,79,963,9,85,0
3502,2693,20,88,2.2916769772803063,45,47,997,2,54,1
2455,1973,19,82,5.180259357637053,22,24,986,1,98,0
2950,1753,16,55,9.561383190853531,96,14,954,4,70,0
1869,1296,25,91,4.24706177432376,57,23,999,9,33,0
2486,1128,23,89,8.897356371857802,33,16,1010,6,74,0
2034,2151,20,91,2.082597340831404,20,14,1018,8,55,0
646,2173,22,79,6.553154862403391,30,75,987,7,72,0
3719,2264,23,73,6.405516792194664,59,60,995,5,73,0
3411,1754,23,88,8.738872750632417,23,15,964,5,82,1
2234,2978,22,50,1.0298503396441134,53,65,986,6,77,0
2343,525,26,53,2.7093850047781496,84,42,976,6,46,0
988,1194,22,87,2.9771886288653358,75,21,950,5,21,0
3476,812,17,86,9.549694792816636,29,58,978,8,97,0
2459,2793,27,54,2.3832429064290546,90,49,1021,3,42,0
2163,795,33,74,1.3326611519850435,83,29,956,9,54,0
3098,1120,16,97,5.810153452676272,32,35,978,5,81,0
2885,1041,31,46,5.757026161903135,41,69,980,9,91,0
3419,1425,30,68,8.596422688310778,75,43,987,5,78,0
1140,543,18,83,9.53973685160022,84,24,957,3,95,0
2302,2076,32,93,5.846908979261179,32,77,986,9,83,0
3020,1058,28,61,9.3699476417769,20,47,1008,2,60,0
2469,1623,16,62,7.5264323616984665,57,70,1028,5,52,0
2698,644,27,63,3.381032151960265,77,5,1003,3,28,0
1938,1988,35,74,9.355786398495336,44,59,1007,7,98,0
3869,421,34,90,7.006988585636873,61,55,975,4,93,0
2134,791,31,49,4.726863394683704,52,9,997,8,68,0
762,1230,29,47,7.1221787606523765,76,16,960,1,21,0
2287,1495,39,87,4.611815449693758,56,18,972,5,22,0
2691,1217,34,87,2.0276539118916332,76,64,983,8,42,0
2893,2263,19,51,7.470808724592098,81,44,982,2,93,0
1123,1647,21,68,8.416788509536694,22,13,951,6,38,0
1516,2245,32,68,7.55925579117449,49,46,1010,7,37,0
1380,723,38,62,3.062032009810089,86,46,953,6,54,0
2549,2268,25,65,9.609715121298516,82,37,961,3,73,0
3444,2475,32,76,1.2272910552204033,42,29,978,6,79,1
1827,2008,19,71,3.994167676380765,91,13,991,7,28,0
2801,1511,27,91,3.3408319108140594,92,48,1006,3,71,1
952,1506,32,77,1.4331360485336586,85,62,999,2,69,0
3608,2651,16,96,4.651567236898016,80,29,1015,3,31,1
1683,1289,34,45,6.60803356146497,21,36,956,1,36,0
3562,1872,18,47,8.942975771365912,46,26,1006,7,68,0
2556,636,27,56,9.90720744572323,67,59,995,4,67,0
3804,1028,38,51,8.272806277639582,82,65,971,3,46,0
3670,458,30,61,5.218124668415423,24,61,960,6,33,0
2182,2203,20,53,7.5133398337032755,20,65,982,3,74,0
3363,2189,22,73,8.592614097306766,41,71,1003,3,32,0
2755,302,30,58,5.187764767768132,93,79,969,9,22,0
1654,1192,27,45,8.065489906229498,43,6,954,2,83,0
903,968,37,57,5.343871764815891,78,61,1017,5,91,0
2699,1324,18,75,4.478463917890505,98,77,963,2,42,0
2601,1421,16,93,5.734817540053851,69,37,952,6,99,0
3691,2473,23,76,7.082692638644303,42,67,1007,4,92,1
2196,2710,32,77,7.5419385068673765,97,20,976,7,58,0
1127,436,31,54,4.210626420028971,37,5,953,1,77,0
1086,1344,22,77,6.141882264004313,41,68,1016,8,37,0
2148,2753,29,79,9.188837866724024,63,73,1013,2,73,0
1943,966,23,48,9.786816100995757,63,21,991,4,50,0
1945,2881,31,92,3.0452328206555905,56,44,978,7,83,0
603,1190,37,93,2.7354804914200734,26,5,1029,8,61,0
753,2865,16,45,7.090170700857836,43,17,984,9,56,0
3798,1959,20,93,4.732154972410995,96,22,968,5,89,1
3683,2520,19,41,1.2180010457632333,60,72,1028,9,97,0
3057,2479,31,55,4.121756835825558,89,18,1018,9,61,0
1996,695,16,91,8.26070269125027,90,9,980,3,48,0
598,1247,32,40,8.176842373448643,37,66,992,7,89,0
2700,1926,24,69,5.452166339349237,98,37,1022,8,22,0
2384,2749,24,99,5.253201413987818,91,30,1026,1,37,0
3461,2272,20,87,6.215566981909397,79,65,970,5,48,1
2419,2535,26,72,2.9745703950721842,71,72,1014,1,71,0
1377,537,31,40,5.734392624018599,99,34,1026,3,61,0
837,2137,27,78,1.0994172405098355,68,66,983,2,71,0
3369,2017,34,55,5.2800359930482035,86,66,1010,2,55,0
3734,336,30,56,4.024459416255333,64,74,985,4,27,0
1456,2755,24,87,7.073826453132937,28,61,1029,5,99,0
2204,2474,35,87,6.7451822573736475,45,40,1023,1,21,0
660,519,16,77,4.427522921645281,45,11,990,6,70,0
2103,2063,16,57,1.0654568333073242,49,69,983,5,34,0
3348,1115,37,61,3.270462664554644,46,78,974,4,36,0
897,1405,21,61,6.700130651702461,99,45,1006,6,32,0
1800,2097,20,99,1.6513600871575407,23,36,1014,2,73,0
1315,2333,15,98,1.9687817965011747,70,18,1025,8,44,0
2027,1125,26,74,6.823315221103784,89,37,971,6,93,0
2419,2300,27,70,7.80190660854363,98,34,1009,3,94,0
1915,1458,26,79,3.893947372114409,29,77,1003,4,52,0
1658,2182,33,66,5.407057589649057,55,10,971,2,97,0
1718,632,23,75,9.511402284852927,65,14,1010,4,41,0
900,1198,24,94,9.509892059583725,25,79,1015,9,63,0
1139,2347,31,43,3.767524970170871,89,24,994,4,23,0
3604,1189,32,88,8.289890875153812,98,16,1021,8,45,0
3235,798,22,93,6.345496475261729,97,26,1018,3,20,0
959,2650,21,44,9.77936044015342,22,18,1013,5,29,0
1454,595,23,64,5.298522127399869,69,52,959,2,21,0
969,614,24,70,7.972361812140054,61,58,1016,9,48,0
3946,1138,26,53,7.913234166533839,97,40,960,9,44,0
1545,1836,29,69,5.4768958086976856,73,65,977,7,79,0
3297,2924,29,86,8.16067102867577,58,59,954,2,32,1
2193,2710,18,96,3.3493629997629686,74,18,961,4,59,0
2585,740,18,51,2.10027732661206,30,6,993,6,53,0
2777,1849,37,66,4.8264737018978465,93,6,978,9,54,0
3936,2145,15,84,9.492675909702262,98,65,1027,6,98,1
1062,283,26,63,5.506701473822758,49,10,985,4,58,0
2985,470,39,94,6.717332247822343,75,29,984,1,61,0
2299,2491,16,69,6.617462103170878,48,71,957,7,44,0
3854,587,29,57,2.193155805425774,36,27,965,7,33,0
2574,413,31,53,4.512671941394892,52,77,992,6,20,0
725,258,21,95,7.362450756296873,40,32,1018,3,58,0
3848,1825,20,58,9.747910887226537,97,29,965,5,49,0
1297,1042,26,61,2.5121596446732353,29,69,1005,7,24,0
2831,1727,33,65,4.693977013052047,58,70,990,6,90,0
3426,1929,15,46,1.8558441982245641,97,47,1026,7,81,0
1459,322,35,67,3.1813881368433043,66,44,957,5,96,0
2004,1636,28,77,4.390834089935352,71,27,1003,1,50,0
952,1362,18,44,5.865789231571154,60,53,954,5,26,0
3567,2686,19,75,3.0751019401517286,66,12,958,2,48,0
1315,761,15,57,3.0480639506081717,92,11,1015,2,70,0
1158,2365,15,96,8.000469812261834,90,25,1020,4,96,0
1046,1937,35,53,9.663774966521931,62,39,979,6,98,0
1715,1104,20,87,3.9125167097631057,56,65,1014,5,70,0
3620,594,19,62,7.191928167721121,92,78,979,7,90,0
516,1926,16,94,3.3227241522212867,83,72,996,8,88,0
3743,1916,39,91,9.351570294690688,90,34,980,1,33,1
1743,1134,35,53,7.056121241488585,79,72,1009,8,42,0
2705,1301,19,71,8.22409169173813,44,13,1024,3,99,0
3024,1635,23,44,1.4441863887924833,41,21,1029,2,62,0
1569,274,33,61,6.386553714165622,62,47,958,2,75,0
3944,494,35,67,5.74851098222544,90,61,1025,5,40,0
3065,220,29,82,3.6369721622037883,89,17,1003,2,49,0
2646,1238,27,51,3.3618698655158625,55,61,1010,4,95,0
2268,1434,26,57,6.220223220852728,65,30,1013,3,59,0
1560,759,19,75,7.358370715065027,41,65,1029,8,41,0
2827,1309,16,70,1.2985548133167006,54,66,955,9,21,0
3920,1372,18,52,6.106614237313339,66,23,994,6,42,0
3044,571,32,59,2.534135760519658,52,34,1014,4,81,0
801,2227,35,99,2.263264582474905,94,17,1026,2,49,0
680,1017,24,84,6.608075392852161,32,53,986,8,46,0
1106,1374,27,75,3.7978310549572574,75,55,1022,3,94,0
3670,1364,26,94,4.967922098213776,86,13,966,2,56,0
1199,1292,16,94,4.239989284957956,32,33,974,4,89,0
1492,1483,29,46,6.8350268813727135,69,12,999,2,35,0
1639,2211,28,62,5.23107789459822,76,19,1020,3,39,0
690,1045,39,73,9.671127958341527,47,73,980,9,93,0
2800,2191,24,92,4.171444831958188,84,38,981,7,65,1
1480,720,36,97,7.662559062365517,43,56,997,1,93,0
3475,570,22,89,3.315633108247401,86,54,966,5,44,0
2506,1642,39,71,5.578777833635322,26,71,1010,5,78,0
1684,300,29,60,5.973127767117613,93,9,1006,9,51,0
3827,860,27,99,3.9619835295645895,43,13,1006,1,36,0
3894,1881,22,45,5.246024760213662,28,9,1019,1,99,0
627,442,35,55,3.5135077410864293,34,31,982,7,29,0
2565,711,35,74,1.054007035065838,75,51,968,7,36,0
2316,2802,36,93,2.940834714740909,36,66,964,8,21,0
2258,2473,28,86,7.3005775524388055,38,49,984,4,85,0
3113,1741,15,92,7.9386672203683935,28,70,998,7,48,1
1069,2461,27,59,3.5218258042502795,83,27,985,6,23,0
1846,2965,22,81,4.672386989362647,76,65,1003,1,49,0
2395,2314,32,80,1.3362909412475,57,47,985,2,80,0
3233,595,36,50,3.1335661098791254,27,39,1002,8,77,0
1125,811,23,71,8.012973550350694,25,34,1009,6,95,0
3859,1460,27,53,6.453876432385515,68,71,1023,7,53,0
3401,2057,17,63,2.8519346975893427,64,14,993,8,97,0
2186,969,32,83,3.3169779561018893,40,60,982,5,43,0
3509,1622,24,78,8.351218206906042,53,38,993,5,44,1
654,606,19,82,2.8817578265041073,31,69,1004,2,44,0
3037,2072,39,70,4.007419532624181,58,10,1023,4,49,0
1909,1703,20,56,6.979228224891799,25,74,993,2,74,0
1284,2894,22,64,6.050011471372708,51,47,1000,7,43,0
3675,2469,38,48,5.147831847104328,79,20,1000,9,58,0
